key,raw_name,translation
haruhi suzumiya bunny,haruhi suzumiya bunny,
arisu shimada,arisu shimada,
oni,oni,
kurumi tokisaki,kurumi tokisaki,
sakuya izayoi maid,sakuya izayoi maid,
velma,velma,
perseus,perseus,
toki asuma bunny,toki asuma bunny,
ciri,ciri,
rogue,rogue,
shimohira reika,shimohira reika,
dark magician,dark magician,
st louis dress,st louis dress,
barbie,barbie,
gamergirl,gamergirl,
makima lingerie,makima lingerie,
lulu,lulu,
mercy,mercy,
daki,daki,
saber bikini,saber bikini,
yukina himeragi,yukina himeragi,
yui hirasawa,yui hirasawa,
haruna,haruna,
noshiro maid,noshiro maid,
shimoe koharu,shimoe koharu,
tracer,tracer,
ayanami,ayanami,
elizabeth,elizabeth,
saki yoshida,saki yoshida,
toki asuma,toki asuma,
do-s,do-s,
knight,knight,
venti,venti,
yoimiya naganohara,yoimiya naganohara,
yuri,yuri,
baobhan sith,baobhan sith,
homura akemi,homura akemi,
rin,rin,
tamaki,tamaki,
d killer wife,d killer wife,
kisaki,kisaki,
momiji inubashiri,momiji inubashiri,
nero claudius,nero claudius,
tamamo jk,tamamo jk,
asuka,asuka,
hotd,hotd,
marisa kirisame,marisa kirisame,
my god anubis,my god anubis,
amagi,amagi,
yuyuko,yuyuko,
atago jk,atago jk,
jigoku no fubuki,jigoku no fubuki,
marin kitagawa jk,marin kitagawa jk,
neko jk,neko jk,
kitana,kitana,
ayaka kamisato,ayaka kamisato,
topaz,topaz,
aerith gainsborough,aerith gainsborough,
blanc,blanc,
tomoe,tomoe,
yoko ritona,yoko ritona,
lara croft,lara croft,
aphrodite,aphrodite,
kallen,kallen,
katarina,katarina,
lucoa,lucoa,
fenrir,fenrir,
kashino bunny,kashino bunny,
teacher,teacher,
yanfei,yanfei,
yu mei-ren,yu mei-ren,
belly dancer,belly dancer,
jeanne alter bikini,jeanne alter bikini,
kumano,kumano,
nagatoro,nagatoro,
morrigan,morrigan,
nishikino maki,nishikino maki,
uzuki generation,uzuki generation,
bastet,bastet,
jeanne alter dress,jeanne alter dress,
tokisaki kurumi lingerie,tokisaki kurumi lingerie,
chika,chika,
motoko kusanagi,motoko kusanagi,
tsubasa hanekawa,tsubasa hanekawa,
ayanami rei,ayanami rei,
chapayev bride,chapayev bride,
marcille donato,marcille donato,
aisaka taiga,aisaka taiga,
dark magician girl,dark magician girl,
dido,dido,
marin kitagawa lingerie,marin kitagawa lingerie,
nanael,nanael,
momo,momo,
taihou jk,taihou jk,
heles,heles,
helm,helm,
iowa,iowa,
musashi,musashi,
osakabehime,osakabehime,
super crown boo,super crown boo,
darkness,darkness,
cammy,cammy,
kaguya shinomiya,kaguya shinomiya,
mary jane watson,mary jane watson,
celestine lucullus,celestine lucullus,
liliana,liliana,
sm,sm,
ereshikigal,ereshikigal,
kiyohime,kiyohime,
ashley graham,ashley graham,
tokitsukaze,tokitsukaze,
amiya,amiya,
amelia watson,amelia watson,
jack,jack,
artoria pendragon alter,artoria pendragon alter,
dizzy,dizzy,
francesca lucchini,francesca lucchini,
vermeil,vermeil,
aurora,aurora,
sanae,sanae,
shiroko,shiroko,
nero bride,nero bride,
asuka langley soryu christmas,asuka langley soryu christmas,
rumi usagiyama,rumi usagiyama,
jeanne,jeanne,
marin,marin,
uta,uta,
2b jk,2b jk,
kiara sessyoin,kiara sessyoin,
vi,vi,
eriri,eriri,
shuten douji maid,shuten douji maid,
gal addict island,gal addict island,
quiet,quiet,
chitoge,chitoge,
dva bikini,dva bikini,
elf lingerie,elf lingerie,
yuno gasai,yuno gasai,
clownpiece,clownpiece,
hamakaze,hamakaze,
sagiri,sagiri,
spider gwen,spider gwen,
ghostface,ghostface,
jett,jett,
kasumigaoka utaha,kasumigaoka utaha,
maids secret figure,maids secret figure,
tifa lockhart dress,tifa lockhart dress,
rosa,rosa,
hermione granger,hermione granger,
rupee,rupee,
chisato nishikigi,chisato nishikigi,
taihou qipao,taihou qipao,
kim possible,kim possible,
tatsuta,tatsuta,
chen hai dress,chen hai dress,
klara,klara,
samus,samus,
yor forger lingerie,yor forger lingerie,
lancer scathach,lancer scathach,
sakurajima mai,sakurajima mai,
viper swimsuit,viper swimsuit,
nonomi,nonomi,
shower,shower,
satsuki kiryuin,satsuki kiryuin,
rosalina,rosalina,
chloe,chloe,
shimakaze collection,shimakaze collection,
koakuma,koakuma,
mary jane,mary jane,
nurse latex,nurse latex,
rem christmas,rem christmas,
scarlet witch,scarlet witch,
kaguya,kaguya,
saber dress,saber dress,
zero two swimsuit,zero two swimsuit,
kyuubei,kyuubei,
neko kunoichi,neko kunoichi,
izayoi sakuya,izayoi sakuya,
kyaru,kyaru,
melpha,melpha,
shiroko sunaookami,shiroko sunaookami,
monika,monika,
utaha kasumigaoka,utaha kasumigaoka,
luo tianyi,luo tianyi,
saber rq,saber rq,
zero two christmas,zero two christmas,
black widow,black widow,
cattleya,cattleya,
enoshima junko,enoshima junko,
ggx dizzy,ggx dizzy,
jk swimsuit,jk swimsuit,
kagerou,kagerou,
regensburg swimsuit,regensburg swimsuit,
reisen bunny,reisen bunny,
squirrel girl,squirrel girl,
tone,tone,
karin kakudate,karin kakudate,
alice margatroid,alice margatroid,
enterprise,enterprise,
suite cross out,suite cross out,
caitlyn,caitlyn,
miss hina,miss hina,
power bunny,power bunny,
euphemia vi britannia,euphemia vi britannia,
houshou marine bikini,houshou marine bikini,
konosuba,konosuba,
no lenfried no life,no lenfried no life,
dorothy,dorothy,
gorou,gorou,
kafka lingerie,kafka lingerie,
nightwing,nightwing,
hana uzaki,hana uzaki,
yang guifei,yang guifei,
pikachu,pikachu,
sonia,sonia,
summer,summer,
akane shinjou,akane shinjou,
mavis,mavis,
swimsuit latex,swimsuit latex,
bunny latex,bunny latex,
doggirl,doggirl,
shiro,shiro,
bulma,bulma,
nyaruko,nyaruko,
madoka magica,madoka magica,
jeanne darc,jeanne darc,
nurse neko,nurse neko,
black back,black back,
kasumigaoka utaha lingerie,kasumigaoka utaha lingerie,
rem bride,rem bride,
akane murokasa,akane murokasa,
saber rider alter,saber rider alter,
tohru,tohru,
ranko kanzaki,ranko kanzaki,
artoria pendragon,artoria pendragon,
final fantasy x,final fantasy x,
noir,noir,
uzuki generation neo,uzuki generation neo,
ada wong latex,ada wong latex,
yor forger casual,yor forger casual,
abukuma,abukuma,
melona,melona,
ahri lingerie,ahri lingerie,
mordred,mordred,
spider-woman,spider-woman,
2b maid,2b maid,
pekora,pekora,
tifa lockhart swimsuit,tifa lockhart swimsuit,
tohsaka rin,tohsaka rin,
kaine,kaine,
kanna,kanna,
various,various,
yotsuba nakano,yotsuba nakano,
flandre,flandre,
miss fortune,miss fortune,
hibari,hibari,
shinano rq,shinano rq,
bride lingerie,bride lingerie,
rana,rana,
ryuuko,ryuuko,
elf village cecil,elf village cecil,
helm dress,helm dress,
jessica rabbit,jessica rabbit,
lenfriedom type h,lenfriedom type h,
purah,purah,
xilonen,xilonen,
bela dimitrescu,bela dimitrescu,
nanoka,nanoka,
dagashi,dagashi,
megumi kato,megumi kato,
medb,medb,
pink,pink,
graf zeppelin,graf zeppelin,
sally ragdoll,sally ragdoll,
amazon,amazon,
asuna ichinose maid,asuna ichinose maid,
izayoi sakuya maid,izayoi sakuya maid,
atago bikini,atago bikini,
atelier suite,atelier suite,
branwen,branwen,
2b kunoichi,2b kunoichi,
nakashizu soyo,nakashizu soyo,
inori yuzuriha,inori yuzuriha,
yuuka,yuuka,
nero claudius bride,nero claudius bride,
hana midorikawa,hana midorikawa,
kamisato ayaka,kamisato ayaka,
mary saotome,mary saotome,
pasties,pasties,
scathach swimsuit,scathach swimsuit,
umbreon,umbreon,
s.u.i.t.e,s.u.i.t.e,
suwako moriya,suwako moriya,
anne takamaki,anne takamaki,
yoimiya,yoimiya,
koyanskaya qipao,koyanskaya qipao,
hanekawa tsubasa,hanekawa tsubasa,
mavuika,mavuika,
pekomama,pekomama,
soda,soda,
haru,haru,
takamaki ann,takamaki ann,
black tape project,black tape project,
sofia,sofia,
i19,i19,
rem bikini,rem bikini,
selfies,selfies,
chel,chel,
patchouli,patchouli,
shibari,shibari,
daphne blake,daphne blake,
janus,janus,
rikku,rikku,
nana,nana,
rainbow dash,rainbow dash,
alcina dimitrescu,alcina dimitrescu,
august von parseval,august von parseval,
hokusai,hokusai,
iono,iono,
junko enoshima,junko enoshima,
nightingale halloween,nightingale halloween,
suite monster,suite monster,
zero two lingerie,zero two lingerie,
slytherin,slytherin,
murakumo,murakumo,
rimuru tempest,rimuru tempest,
baltimore rq,baltimore rq,
galleon bikini,galleon bikini,
panty,panty,
supergirl,supergirl,
2b bikini,2b bikini,
cyberpunk,cyberpunk,
gwenpool,gwenpool,
kaguya luna,kaguya luna,
kiara mizugi,kiara mizugi,
morticia addams,morticia addams,
vampirella,vampirella,
cow bikini,cow bikini,
krul tepes,krul tepes,
azula,azula,
black swan,black swan,
leifang,leifang,
sakura miko,sakura miko,
suite blessing,suite blessing,
twin closet,twin closet,
camie utsushimi,camie utsushimi,
demon hunter zara,demon hunter zara,
yuuki asuna,yuuki asuna,
eve,eve,
fate testarossa,fate testarossa,
sailor mars,sailor mars,
zero suit samus,zero suit samus,
2b nurse,2b nurse,
makoto niijima,makoto niijima,
i-19,i-19,
icy rose,icy rose,
march 7th,march 7th,
asuma toki police,asuma toki police,
kashima jk,kashima jk,
killjoy,killjoy,
big bad wolf,big bad wolf,
elsa,elsa,
chiyo,chiyo,
red raven christmas,red raven christmas,
miku hatsune bikini,miku hatsune bikini,
firefly,firefly,
illya kemono,illya kemono,
kirino,kirino,
st. louis,st. louis,
volume,volume,
panty anarchy,panty anarchy,
saeko busujima,saeko busujima,
tifa lockhart nurse,tifa lockhart nurse,
mikasa,mikasa,
quetzalcoatl,quetzalcoatl,
lemon yakishio swimsuit,lemon yakishio swimsuit,
mata hari,mata hari,
rikka takarada,rikka takarada,
st louis swimsuit,st louis swimsuit,
suite extella link ii,suite extella link ii,
suite extella link iii,suite extella link iii,
tifa lockhart bikini,tifa lockhart bikini,
bunny selection heroes,bunny selection heroes,
gamer girl,gamer girl,
